"Program","College","Age","Gender","FirstGen","Race","TSI_MATH","TSI_WRITING","TSI_READING","MotherEducation","FatherEducation","Homeschooled","HasGED","Highschool","FinAid","EFC"
"Education","Education",33,"Female","Unknown","Hispanic/Latino","334","71","82","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","3135"
"Emergency Medical Services","Health Science",26,"Male","No","White","362","360","359","Some College","Bachelor/Four-year Degree",0,0,"AUSTIN E LATHROP HIGH SCHOOL","FED PELL GRANT","3365"
"Nursing-Associate Degree","Health Science",38,"Female","Yes","Hispanic/Latino","211","240","244","High School Diploma or GED","Some High School",1,0,"FORT STOCKTON HIGH SCHOOL","OTHER","11715"
"Business Management","Business",40,"Male","Unknown","Hispanic/Latino","338","367","366","Unknown","Unknown",0,0,"MCCAMEY HIGH SCHOOL","OTHER","30244"
"Health Information Management","Health Science",32,"Female","Yes","Hispanic/Latino","337","360","NULL","High School Diploma or GED","No High School",0,0,"J M HANKS HIGH SCHOOL","FED PELL GRANT","0"
"Biology","Math and Science",28,"Female","Unknown","Hispanic/Latino","238","240","189","Unknown","Unknown",0,0,"VIOLA M COLEMAN HIGH SCHOOL","OTHER","6537"
"Engineering","Math and Science",35,"Male","Unknown","White","359","99","95","Unknown","Unknown",0,1,"Texas Ged","OTHER","0"
"Business Management","Business",22,"Female","Yes","White","365","365","358","High School Diploma or GED","High School Diploma or GED",0,0,"RICHARD MILBURN ACADEMY","OTHER","9999999"
"Health Information Management","Health Science",26,"Male","Unknown","White","NULL","355","362","Unknown","Unknown",0,0,"Midland High School","OTHER","12273"
"Health Information Management","Health Science",37,"Female","Unknown","White","359","99","92","Unknown","Unknown",0,0,"Texas Ged","OTHER","0"
"Office Systems Technology","Career and Technical",44,"Female","Unknown","Hispanic/Latino","32","95","86","Unknown","Unknown",0,1,"MISD- LHS","FED PELL GRANT","0"
"Energy Technology","Career and Technical",30,"Male","Unknown","Black or African American","51","349","348","Unknown","Unknown",0,0,"ELSIK HIGH SCHOOL","OTHER","0"
"Substance Abuse Counseling","Health Science",21,"Male","Unknown","Hispanic/Latino","950","945","945","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","9999999"
"Kinesiology","Math and Science",25,"Female","Unknown","Hispanic/Latino","362","361","359","Some College","No High School",0,0,"MISD- LHS","OTHER","0"
"Geology","Math and Science",43,"Male","Unknown","White","235","240","250","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","9999999"
"Business Administration","Business",25,"Male","Unknown","White","357","374","355","Unknown","Unknown",0,0,"GREENWOOD HIGH SCHOOL","OTHER","39552"
"Sociology","Social and Behavioral Science",30,"Female","Unknown","Hispanic/Latino","333","370","359","High School Diploma or GED","Some College",0,1,"Texas Ged","FED PELL GRANT","0"
"Paralegal","Career and Technical",29,"Female","Yes","White","349","33","82","High School Diploma or GED","High School Diploma or GED",0,0,"MISD- LHS","OTHER","9999999"
"Emergency Medical Services","Health Science",28,"Female","Yes","Black or African American","948","352","345","Some High School","Some High School",0,0,"Midland High School","OTHER","0"
"Education","Education",24,"Female","Unknown","Hispanic/Latino","328","361","352","Some College","Some High School",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","0"
"Cosmetology","Career and Technical",27,"Female","Yes","White","334","350","366","High School Diploma or GED","High School Diploma or GED",0,0,"Midland High School","OTHER","230"
"Business Administration","Business",35,"Female","Yes","Hispanic/Latino","318","364","353","Some High School","No High School",0,0,"AIM CENTER HIGH SCHOOL","FED PELL GRANT","0"
"Nursing-Vocational","Health Science",26,"Female","Yes","Hispanic/Latino","350","356","364","High School Diploma or GED","No High School",0,0,"FORT STOCKTON HIGH SCHOOL","FED PELL GRANT","0"
"Sociology","Social and Behavioral Science",27,"Female","Yes","Hispanic/Latino","923","939","939","High School Diploma or GED","Some High School",0,0,"PENN FOSTER HIGH SCHOOL","OTHER","4345"
"Business Management","Business",28,"Female","Unknown","White","342","NULL","NULL","Some College","Some College",0,0,"MISD- LHS","FED PELL GRANT","1029"
"Biology","Math and Science",26,"Female","Unknown","Black or African American","335","368","352","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Emergency Medical Services","Health Science",42,"Male","Unknown","Black or African American","17","18","91","Unknown","Unknown",0,0,"MISD- LHS","OTHER","9999999"
"Business Administration","Business",24,"Male","Unknown","Hispanic/Latino","344","357","360","Unknown","Unknown",0,0,"Midland High School","OTHER","0"
"Health Services Management","Health Science",25,"Female","Unknown","Hispanic/Latino","238","367","244","High School Diploma or GED","Some College",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","9999999"
"Business Administration","Business",25,"Female","Unknown","Hispanic/Latino","331","353","341","Unknown","Unknown",0,0,"Midland High School","OTHER","9999999"
"Arts","Language and Fine Arts",24,"Male","Unknown","Hispanic/Latino","354","360","340","Unknown","Unknown",0,0,"Midland High School","OTHER","7546"
"Education","Education",33,"Female","Unknown","Hispanic/Latino","334","71","82","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","3135"
"Energy Technology","Career and Technical",23,"Male","Unknown","White","370","366","359","Some College","Some College",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","6463"
"Health Services Management","Health Science",31,"Male","Yes","Asian","271","180","232","No High School","No High School",0,0,"Unknown International High School","FED PELL GRANT","0"
"Business Management","Business",21,"Female","Yes","Hispanic/Latino","359","358","360","Some High School","High School Diploma or GED",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","9999999"
"Fire Science Technology","Health Science",31,"Male","Unknown","Hispanic/Latino","30","46","81","Unknown","No High School",0,0,"Midland High School","FED PELL GRANT","9999999"
"Psychology","Social and Behavioral Science",24,"Female","Unknown","Hispanic/Latino","350","347","347","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","0"
"English","Language and Fine Arts",26,"Female","Yes","Black or African American","341","355","350","Some High School","High School Diploma or GED",0,0,"MISD- LHS","OTHER","0"
"Music","Language and Fine Arts",24,"Male","Unknown","Asian","342","339","332","Unknown","Unknown",0,0,"MISD- LHS","OTHER","6416"
"Nursing-Vocational","Health Science",27,"Female","No","Hispanic/Latino","344","352","348","Associate Degree","High School Diploma or GED",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","11987"
"Nursing-Associate Degree","Health Science",32,"Female","Yes","White","351","26","187","High School Diploma or GED","High School Diploma or GED",0,0,"ROOSEVELT HIGH SCHOOL","FED PELL GRANT","0"
"Cosmetology","Career and Technical",31,"Female","Yes","Hispanic/Latino","332","347","343","High School Diploma or GED","No High School",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","627"
"Cosmetology","Career and Technical",34,"Female","No","Hispanic/Latino","935","953","953","Bachelor/Four-year Degree","Graduate/Professional Degree",0,1,"Midland High School","FED PELL GRANT","0"
"Emergency Medical Services","Health Science",25,"Female","Yes","Hispanic/Latino","347","358","350","No High School","No High School",0,0,"VIOLA M COLEMAN HIGH SCHOOL","OTHER","0"
"Mathematics","Math and Science",26,"Female","Unknown","Hispanic/Latino","343","360","353","Unknown","Unknown",0,0,"PRESIDIO HIGH SCHOOL","FED PELL GRANT","9999999"
"Biology","Math and Science",20,"Male","No","Hispanic/Latino","357","367","373","Associate Degree","Some College",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","9999999"
"Office Systems Technology","Career and Technical",51,"Female","Yes","Hispanic/Latino","922","220","251","No High School","No High School",0,0,"Midland High School","OTHER","0"
"Nursing-Vocational","Health Science",29,"Female","Unknown","Hispanic/Latino","318","NULL","NULL","Unknown","Unknown",0,0,"VIOLA M COLEMAN HIGH SCHOOL","OTHER","0"
"Health Services Management","Health Science",63,"Female","Yes","White","234","270","245","No High School","No High School",0,0,"PERMIAN HIGH SCHOOL","FED PELL GRANT","9999999"
"Nursing-Vocational","Health Science",34,"Female","Unknown","Black or African American","37","45","89","Unknown","Unknown",0,0,"MISD- LHS","FED PELL GRANT","0"
"Business Administration","Business",22,"Male","Yes","Black or African American","354","346","346","High School Diploma or GED","High School Diploma or GED",0,0,"Unknown International High School","FED PELL GRANT","250"
"Organizational Management","Business",34,"Female","Unknown","White","352","56","90","High School Diploma or GED","Some College",0,0,"MISD- LHS","OTHER","0"
"Education","Education",29,"Female","Yes","Hispanic/Latino","343","354","341","High School Diploma or GED","High School Diploma or GED",0,0,"Midland High School","OTHER","0"
"Computer Information Technology","Career and Technical",31,"Female","Unknown","Hispanic/Latino","32","329","331","Unknown","Unknown",0,0,"Unknown International High School","OTHER","9999999"
"English","Language and Fine Arts",24,"Female","Yes","White","351","364","359","Some High School","High School Diploma or GED",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","17788"
"Business Management","Business",31,"Female","No","Hispanic/Latino","945","360","365","No High School","Associate Degree",0,0,"MISD- LHS","FED PELL GRANT","0"
"Health Information Management","Health Science",37,"Female","Unknown","Black or African American","355","240","258","Unknown","Unknown",0,0,"Midland High School","OTHER","0"
"Health Services Management","Health Science",29,"Female","Unknown","Hispanic/Latino","361","374","367","Unknown","Unknown",0,0,"Midland High School","OTHER","0"
"Health Information Management","Health Science",31,"Male","Yes","Asian","271","180","232","No High School","No High School",0,0,"Unknown International High School","FED PELL GRANT","0"
"Substance Abuse Counseling","Health Science",40,"Female","Unknown","Hispanic/Latino","238","240","205","Unknown","Unknown",0,0,"PECOS HIGH SCHOOL","OTHER","0"
"Fire Science Technology","Health Science",26,"Male","No","White","362","360","359","Some College","Bachelor/Four-year Degree",0,0,"AUSTIN E LATHROP HIGH SCHOOL","FED PELL GRANT","192"
"Engineering","Math and Science",39,"Male","Unknown","Hispanic/Latino","322","341","336","Unknown","Unknown",0,0,"Midland High School","OTHER","0"
"Cosmetology","Career and Technical",26,"Female","Yes","Hispanic/Latino","312","348","340","High School Diploma or GED","Some High School",0,0,"RICHARD MILBURN ACADEMY","FED PELL GRANT","0"
"Education","Education",26,"Female","Yes","Hispanic/Latino","346","364","352","High School Diploma or GED","High School Diploma or GED",0,0,"VIOLA M COLEMAN HIGH SCHOOL","FED PELL GRANT","0"
"Business Administration","Business",25,"Female","Unknown","Hispanic/Latino","345","359","349","Unknown","Unknown",0,0,"VIOLA M COLEMAN HIGH SCHOOL","OTHER","9999999"
"Computer Information Technology","Career and Technical",35,"Male","Unknown","Black or African American","41","84","86","Unknown","Unknown",0,0,"MISD- LHS","FED PELL GRANT","10432"
"Business Management","Business",25,"Male","Yes","Hispanic/Latino","341","361","351","No High School","Some High School",0,0,"MISD- LHS","OTHER","2329"
"Energy Technology","Career and Technical",23,"Male","Unknown","Hispanic/Latino","340","367","354","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","116"
"Business Management","Business",25,"Female","Yes","Hispanic/Latino","338","354","347","High School Diploma or GED","High School Diploma or GED",0,0,"Midland High School","FED PELL GRANT","0"
"Business Management","Business",22,"Male","No","White","338","361","352","Associate Degree","Bachelor/Four-year Degree",0,1,"GREENWOOD HIGH SCHOOL","OTHER","9999999"
"Nursing-Associate Degree","Health Science",35,"Female","Yes","Hispanic/Latino","333","369","368","No High School","No High School",0,0,"FORT HANCOCK HIGH SCHOOL","OTHER","999"
"Business Administration","Business",24,"Male","No","Hispanic/Latino","367","363","357","High School Diploma or GED","Associate Degree",0,1,"ANDREWS HIGH SCHOOL","FED PELL GRANT","815"
"Office Systems Technology","Career and Technical",43,"Female","No","Hispanic/Latino","341","NULL","NULL","Bachelor/Four-year Degree","Some College",0,0,"PFLUGERVILLE HIGH SCHOOL","OTHER","0"
"Nursing-Vocational","Health Science",38,"Female","Yes","Hispanic/Latino","343","387","359","High School Diploma or GED","High School Diploma or GED",0,1,"Texas Ged","OTHER","736"
"Nursing-Vocational","Health Science",46,"Female","Unknown","Hispanic/Latino","27","45","58","Unknown","Unknown",0,1,"Texas Ged","FED PELL GRANT","9999999"
"Business Management","Business",59,"Female","Unknown","White","329","379","374","Unknown","Unknown",0,0,"LOVINGTON HIGH SCHOOL","OTHER","5523"
"Health Information Management","Health Science",28,"Female","Unknown","Hispanic/Latino","336","345","346","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","0"
"Cosmetology","Career and Technical",30,"Female","Yes","Hispanic/Latino","313","339","321","Unknown","Unknown",0,1,"Midland High School","OTHER","2354"
"Organizational Management","Business",34,"Female","No","Hispanic/Latino","354","377","358","High School Diploma or GED","Associate Degree",0,0,"Midland High School","FED PELL GRANT","1793"
"Nursing-Vocational","Health Science",27,"Female","Unknown","Hispanic/Latino","325","348","341","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","0"
"Education","Education",30,"Female","Yes","Hispanic/Latino","313","339","321","Unknown","Unknown",0,1,"Midland High School","FED PELL GRANT","2354"
"Cosmetology","Career and Technical",25,"Female","No","White","951","942","942","High School Diploma or GED","Associate Degree",0,0,"MISD- LHS","OTHER","4205"
"Computer Information Technology","Career and Technical",40,"Male","Unknown","Black or African American","328","328","327","Unknown","Unknown",0,0,"Unknown International High School","OTHER","14580"
"Energy Technology","Career and Technical",29,"Male","Unknown","Hispanic/Latino","990","941","941","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","0"
"Business Administration","Business",22,"Male","Unknown","Hispanic/Latino","366","354","359","Unknown","Unknown",0,0,"MISD- LHS","OTHER","9999999"
"Business Management","Business",40,"Male","Unknown","Hispanic/Latino","338","367","366","Unknown","Unknown",0,0,"MCCAMEY HIGH SCHOOL","OTHER","30244"
"Business Management","Business",42,"Female","Yes","Hispanic/Latino","330","378","354","Some High School","High School Diploma or GED",0,1,"Texas Ged","OTHER","0"
"Office Systems Technology","Career and Technical",34,"Female","Unknown","Hispanic/Latino","233","240","189","Unknown","Unknown",0,0,"BIG BEND HIGH SCHOOL","FED PELL GRANT","11491"
"Emergency Medical Services","Health Science",34,"Female","Unknown","White","33","89","81","Unknown","Unknown",0,0,"GREENWOOD HIGH SCHOOL","OTHER","3037"
"Business Management","Business",47,"Female","Unknown","Hispanic/Latino","330","373","364","Unknown","Unknown",0,1,"Texas Ged","OTHER","0"
"Child Care and Development","Education",39,"Female","Yes","Hispanic/Latino","15","97","76","No High School","No High School",0,0,"MISD- LHS","OTHER","9999999"
"Engineering","Math and Science",24,"Female","Unknown","Hispanic/Latino","355","345","332","Unknown","Some College",0,0,"Midland High School","OTHER","10066"
"Business Management","Business",35,"Female","Unknown","White","326","349","347","Unknown","Unknown",0,0,"AMITY HIGH SCHOOL","OTHER","6414"
"Fire Science Technology","Health Science",32,"Female","Yes","Hispanic/Latino","316","371","357","No High School","Some High School",0,0,"Midland High School","OTHER","17754"
"Kinesiology","Math and Science",29,"Male","Yes","Hispanic/Latino","334","78","94","High School Diploma or GED","High School Diploma or GED",0,0,"MISD- LHS","OTHER","0"
"Music","Language and Fine Arts",24,"Female","No","Hispanic/Latino","325","356","348","Associate Degree","Bachelor/Four-year Degree",0,0,"MISD- LHS","OTHER","9999999"
"Nursing-Vocational","Health Science",60,"Female","Unknown","Hispanic/Latino","141","180","198","Unknown","Unknown",0,1,"Texas Ged","FED PELL GRANT","0"
"Nursing-Associate Degree","Health Science",27,"Male","Unknown","Hispanic/Latino","363","366","365","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","0"
"Office Systems Technology","Career and Technical",40,"Female","Unknown","Hispanic/Latino","323","352","361","Unknown","Unknown",0,0,"Unknown International High School","FED PELL GRANT","0"
"Psychology","Social and Behavioral Science",37,"Female","Unknown","Hispanic/Latino","328","368","355","High School Diploma or GED","Some College",0,0,"Out of State Ged","OTHER","0"
"Criminal Justice","Career and Technical",25,"Female","Unknown","Hispanic/Latino","344","361","347","Unknown","Unknown",0,0,"MISD- LHS","FED PELL GRANT","0"
"Nursing-Vocational","Health Science",26,"Female","No","Hispanic/Latino","351","357","354","High School Diploma or GED","Associate Degree",0,0,"FORT STOCKTON HIGH SCHOOL","FED PELL GRANT","2389"
"Sociology","Social and Behavioral Science",39,"Female","Yes","Hispanic/Latino","333","34","85","No High School","High School Diploma or GED",0,1,"Texas Ged","FED PELL GRANT","0"
"Nursing-Vocational","Health Science",26,"Female","Yes","White","335","364","362","Some High School","High School Diploma or GED",0,0,"GREENWOOD HIGH SCHOOL","OTHER","0"
"Nursing-Vocational","Health Science",22,"Male","Unknown","Hispanic/Latino","353","374","381","Unknown","Unknown",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","1124"
"History","Social and Behavioral Science",25,"Male","Unknown","White","350","358","354","High School Diploma or GED","Some College",0,0,"GREENWOOD HIGH SCHOOL","OTHER","0"
"Air Conditioning, Heating and Refrigeration Technology","Career and Technical",21,"Male","Unknown","Hispanic/Latino","950","945","945","Unknown","Unknown",0,0,"Midland High School","OTHER","9999999"
"Business Administration","Business",28,"Male","Unknown","Asian","310","336","322","Unknown","Unknown",0,0,"MISD- LHS","FED PELL GRANT","0"
"Business Management","Business",32,"Female","Yes","Hispanic/Latino","33","87","90","No High School","No High School",0,0,"Midland High School","OTHER","0"
"English","Language and Fine Arts",26,"Female","Yes","White","314","NULL","NULL","Some High School","Some High School",0,0,"MISD- LHS","FED PELL GRANT","0"
"Health Information Management","Health Science",26,"Female","Yes","White","342","365","353","No High School","Some High School",0,0,"MCCAMEY HIGH SCHOOL","FED PELL GRANT","0"
"Business Management","Business",26,"Female","No","Hispanic/Latino","40","74","92","High School Diploma or GED","Bachelor/Four-year Degree",0,0,"Midland High School","FED PELL GRANT","0"
"Biology","Math and Science",28,"Female","Unknown","Hispanic/Latino","338","NULL","NULL","Unknown","Unknown",0,0,"MISD- LHS","FED PELL GRANT","5816"
"Automotive Technology","Career and Technical",22,"Male","Unknown","Hispanic/Latino","364","356","345","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Geology","Math and Science",25,"Male","Unknown","Hispanic/Latino","336","356","349","Unknown","Unknown",0,0,"MISD- LHS","OTHER","9999999"
"Computer Programming","Career and Technical",23,"Male","Unknown","Hispanic/Latino","355","354","351","Unknown","Unknown",0,0,"MISD- LHS","OTHER","4873"
"Music","Language and Fine Arts",29,"Male","Unknown","Black or African American","326","357","347","Unknown","Unknown",0,0,"MISD- LHS","OTHER","5416"
"Welding","Career and Technical",34,"Male","Unknown","Black or African American","36","84","77","Unknown","Unknown",0,0,"Midland High School","OTHER","0"
"Biology","Math and Science",20,"Female","Yes","Hispanic/Latino","354","369","354","No High School","High School Diploma or GED",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","9999999"
"Nursing-Vocational","Health Science",34,"Female","Unknown","Hispanic/Latino","942","946","946","Unknown","Unknown",0,0,"Midland High School","OTHER","8518"
"Nursing-Associate Degree","Health Science",39,"Female","Unknown","White","310","365","362","Unknown","Unknown",0,1,"Texas Ged","FED PELL GRANT","0"
"Child Care and Development","Education",23,"Female","Unknown","Hispanic/Latino","338","350","350","Some College","Some College",0,0,"MISD- LHS","OTHER","19791"
"Organizational Management","Business",36,"Male","Yes","Hispanic/Latino","NULL","18","64","Some High School","Some High School",0,1,"MISD- LHS","FED PELL GRANT","9999999"
"Energy Technology","Career and Technical",40,"Male","Unknown","Black or African American","328","328","327","Unknown","Unknown",0,0,"Unknown International High School","OTHER","14580"
"Computer Programming","Career and Technical",25,"Male","Unknown","White","942","354","348","Unknown","Unknown",0,0,"STANTON HIGH SCHOOL","OTHER","5575"
"Drama","Language and Fine Arts",26,"Male","Unknown","White","315","346","340","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","1763"
"Nursing-Associate Degree","Health Science",33,"Female","Yes","Hispanic/Latino","328","358","357","Some High School","Some High School",0,0,"Out Of State Unknown Ceeb Code","FED PELL GRANT","0"
"Nursing-Associate Degree","Health Science",21,"Female","Unknown","Hispanic/Latino","355","350","352","Unknown","Unknown",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","9999999"
"Fire Science Technology","Health Science",26,"Male","No","White","362","360","359","Some College","Bachelor/Four-year Degree",0,0,"AUSTIN E LATHROP HIGH SCHOOL","OTHER","847"
"Business Administration","Business",25,"Male","Yes","Hispanic/Latino","950","940","940","High School Diploma or GED","High School Diploma or GED",0,0,"MISD- LHS","OTHER","1649"
"Business Administration","Business",28,"Female","Yes","White","NULL","85","90","High School Diploma or GED","High School Diploma or GED",0,0,"MISD- LHS","OTHER","0"
"Engineering","Math and Science",31,"Male","Unknown","Hispanic/Latino","49","56","74","High School Diploma or GED","Some College",0,0,"Midland High School","FED PELL GRANT","9999999"
"Health Sciences Foundation","Health Science",20,"Female","No","Hispanic/Latino","932","946","946","Associate Degree","Associate Degree",0,0,"Midland High School","OTHER","6022"
"Health Services Management","Health Science",30,"Female","Yes","Black or African American","347","347","348","Some High School","Some High School",0,0,"Unknown International High School","OTHER","0"
"Business Management","Business",25,"Female","No","White","919","NULL","NULL","Bachelor/Four-year Degree","Some College",0,0,"MISD- LHS","FED PELL GRANT","1393"
"Office Systems Technology","Career and Technical",52,"Female","Unknown","White","326","356","349","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Kinesiology","Math and Science",24,"Female","Unknown","Hispanic/Latino","327","350","347","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","8"
"Health Information Management","Health Science",42,"Female","Unknown","Hispanic/Latino","328","NULL","NULL","Unknown","Unknown",0,1,"Texas Ged","FED PELL GRANT","0"
"Biology","Math and Science",27,"Female","Yes","Hispanic/Latino","334","353","350","No High School","Some High School",0,0,"STANTON HIGH SCHOOL","FED PELL GRANT","6361"
"Business Management","Business",26,"Male","Unknown","Hispanic/Latino","347","61","83","Unknown","Unknown",0,0,"MISD- LHS","OTHER","9999999"
"Nursing-Vocational","Health Science",26,"Female","Yes","Hispanic/Latino","315","352","342","High School Diploma or GED","Some High School",0,1,"Texas Resident Individual Appro","OTHER","7188"
"Computer Information Technology","Career and Technical",32,"Female","Unknown","Hispanic/Latino","24","NULL","NULL","Unknown","Unknown",0,0,"Midland High School","FED PELL GRANT","0"
"Biology","Math and Science",23,"Unknown","No","White","354","372","352","Some High School","Bachelor/Four-year Degree",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","9999999"
"Computer Information Technology","Career and Technical",25,"Male","Unknown","White","942","354","348","Unknown","Unknown",0,0,"STANTON HIGH SCHOOL","FED PELL GRANT","5575"
"Automotive Technology","Career and Technical",25,"Male","Unknown","Asian","333","352","341","Unknown","Unknown",0,0,"MISD- LHS","OTHER","5029"
"Respiratory Care","Health Science",25,"Female","Unknown","Black or African American","324","364","342","Unknown","Unknown",0,0,"PERMIAN HIGH SCHOOL","FED PELL GRANT","4100"
"Business Administration","Business",33,"Female","Unknown","Hispanic/Latino","328","366","369","Some College","High School Diploma or GED",0,1,"Texas Ged","OTHER","0"
"Office Systems Technology","Career and Technical",28,"Female","Yes","Hispanic/Latino","340","357","353","No High School","No High School",0,1,"Texas Ged","FED PELL GRANT","17120"
"Computer Information Technology","Career and Technical",43,"Female","No","Hispanic/Latino","341","NULL","NULL","Bachelor/Four-year Degree","Some College",0,0,"PFLUGERVILLE HIGH SCHOOL","OTHER","0"
"Psychology","Social and Behavioral Science",33,"Female","Unknown","Hispanic/Latino","934","961","961","Some High School","Some College",0,0,"Midland High School","FED PELL GRANT","4732"
"Business Administration","Business",27,"Female","Unknown","Hispanic/Latino","NULL","372","367","Unknown","Unknown",0,0,"Midland High School","OTHER","9999999"
"Diesel Technology","Career and Technical",22,"Male","Unknown","Hispanic/Latino","349","362","340","Unknown","No High School",0,0,"Midland High School","OTHER","9999999"
"Engineering","Math and Science",21,"Male","Unknown","Hispanic/Latino","352","341","352","Unknown","Unknown",0,0,"Midland High School","OTHER","9999999"
"Office Systems Technology","Career and Technical",30,"Female","Unknown","White","318","351","355","Unknown","High School Diploma or GED",0,0,"STANTON HIGH SCHOOL","FED PELL GRANT","0"
"Organizational Management","Business",32,"Female","Unknown","Hispanic/Latino","28","76","84","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Education","Education",42,"Female","No","White","353","65","94","Some High School","Bachelor/Four-year Degree",0,0,"MISD- LHS","OTHER","3679"
"Engineering","Math and Science",22,"Female","Unknown","Hispanic/Latino","352","357","360","Unknown","Unknown",0,0,"MISD- LHS","OTHER","0"
"Computer Information Technology","Career and Technical",25,"Male","Unknown","White","942","354","348","Unknown","Unknown",0,0,"STANTON HIGH SCHOOL","OTHER","5575"
"Health Information Management","Health Science",30,"Female","Unknown","Hispanic/Latino","333","361","355","Unknown","Unknown",0,0,"VIOLA M COLEMAN HIGH SCHOOL","OTHER","0"
"Emergency Medical Services","Health Science",31,"Male","Yes","Hispanic/Latino","36","240","197","High School Diploma or GED","High School Diploma or GED",0,0,"Midland High School","OTHER","5545"
"Nursing-Associate Degree","Health Science",34,"Female","Yes","Hispanic/Latino","NULL","65","81","No High School","No High School",0,0,"MISD- LHS","OTHER","0"
"Substance Abuse Counseling","Health Science",40,"Female","Unknown","Black or African American","343","378","367","Some College","Some College",0,0,"Midland High School","OTHER","0"
"Child Care and Development","Education",43,"Female","Yes","Hispanic/Latino","185","220","198","No High School","High School Diploma or GED",0,0,"MISD- LHS","OTHER","9999999"
"Business Management","Business",42,"Female","Unknown","White","40","96","86","Unknown","Unknown",0,0,"MISD- LHS","OTHER","2433"
"Diesel Technology","Career and Technical",22,"Male","Unknown","Hispanic/Latino","360","358","351","Unknown","Unknown",0,0,"EARLY COLLEGE HS @ MIDLAND COL","OTHER","9999999"
"Education","Education",27,"Female","Unknown","Hispanic/Latino","325","NULL","NULL","Unknown","No High School",0,0,"LAMESA HIGH SCHOOL","FED PELL GRANT","435"
"Office Systems Technology","Career and Technical",30,"Female","Yes","Hispanic/Latino","48","73","94","High School Diploma or GED","No High School",0,0,"BLADENSBURG HIGH SCHOOL","FED PELL GRANT","0"
"Music","Language and Fine Arts",24,"Male","Unknown","Asian","342","339","332","Unknown","Unknown",0,0,"MISD- LHS","OTHER","6416"
"Business Management","Business",23,"Female","Unknown","Hispanic/Latino","352","363","356","Unknown","Unknown",0,0,"Midland High School","OTHER","8096"
"Substance Abuse Counseling","Health Science",71,"Male","Unknown","White","313","352","361","Unknown","Unknown",0,0,"Out of State Ged","OTHER","0"
"Office Systems Technology","Career and Technical",41,"Female","Yes","Hispanic/Latino","54","86","244","Some High School","Some High School",0,0,"MISD- LHS","OTHER","345"
"History","Social and Behavioral Science",29,"Male","Unknown","Hispanic/Latino","35","NULL","NULL","Unknown","Unknown",0,0,"MISD- LHS","FED PELL GRANT","0"
"Nursing-Vocational","Health Science",21,"Female","Yes","Hispanic/Latino","352","370","362","No High School","Some High School",0,0,"FORT STOCKTON HIGH SCHOOL","OTHER","9467"
"Automotive Technology","Career and Technical",22,"Male","Unknown","Hispanic/Latino","353","367","359","Unknown","Unknown",0,0,"MISD- LHS","OTHER","13997"
"Psychology","Social and Behavioral Science",28,"Female","Unknown","White","332","371","359","Some High School","Unknown",0,0,"GEORGE GERVIN ACADEMY","FED PELL GRANT","0"
"Cosmetology","Career and Technical",23,"Female","Unknown","Hispanic/Latino","352","363","356","Unknown","Unknown",0,0,"Midland High School","OTHER","7748"
"Organizational Management","Business",49,"Female","Unknown","Hispanic/Latino","250","240","231","Unknown","Unknown",0,0,"PRESIDIO HIGH SCHOOL","FED PELL GRANT","1644"
"Emergency Medical Services","Health Science",34,"Male","Unknown","Hispanic/Latino","26","94","90","Unknown","Unknown",0,0,"Midland High School","OTHER","9999999"
"Computer Information Technology","Career and Technical",33,"Female","Unknown","Unknown","343","353","340","Unknown","Unknown",0,0,"Not Used....Was Unknown High School","OTHER","0"
"Emergency Medical Services","Health Science",27,"Male","No","White","347","NULL","NULL","Some College","Bachelor/Four-year Degree",0,0,"STANTON HIGH SCHOOL","OTHER","0"
